image,description,display name,category
45824.jpg,"  Style Note    The Spanish influences in the design details of this sandal is the reason for the Spanish name, senorita. Subtle pastel hues, super soft footbed styling and classic designs with a sophisticated polish, style this pair with kohl-rimmed eyes and an ethno-western ensemble!       Product Description    Black sandal with blue synthetic leather thong style strap with beeding detail and a toe separator    Smooth and printed footbed    Textured TPU outsole with an upraised heel       Material and Care    Synthetic    Wipe surface with soft, clean cloth to remove dust    Do not machine wash or use a drier    Do not store in direct sunlight  ",Senorita Women Blue Flats,Ipad
58507.jpg,"Knitted shrug with animal print, short sleeves, layered ruffles, brown binding along the hem",Tonga Women Coffee Brown Shrug,Shrug
55086.jpg,"Light infusing under eye cream Wakes up eyes, visibly improves under-eye dark circles Apply using light strokes under the eyes and around corners Contains VAO-B3 complex, which is the Ponds Institute's new vitamin E, Allantoin and Optics powered Niacinamide (B3) complex, especially created to deliver flawlessly radiant skin",Ponds Flawless White Under Eye Cream,Eye Cream
45087.jpg,"Style Note Crafted from the softest fabric and styled with high fashion oomph, this pair of robe from bw!tch melts like a dollop of cream on the contours of your body and is sure to make you feel relaxed and peaceful. Now that's something worth investing in! Product Details Pink full length robe with an open placket with tie-up detail to connect both sides, three fourth sleeves with lacing on the cuffs Comes with a fabric belt Material and Care Lace, satin Hand wash, drip dry in shade Do not wring, iron, bleach Wash dark colours separately",Bwitch Women Pink Lily Robe,Robe
30725.jpg,"lehenga choli set with dupatta Pink choli with a ballet wrap neckline, has small pleated edges along the neckline with a tie up, short sleeves with dark blue piping on the cuffs and hem, a tie up on the right inside the choli and a vented hem Pink mangalgiri printed lehenga with a drawstring Pink dupatta with a printed border on both ends  Fit Regular  Wash care Hand wash separately in cold water using mild detergent Dry in shade Do not soak This unique fabric has been dyed/ printed using traditional dyeing processes. Some colours may initially transfer when in dry or wet contact with light coloured fabrics or upholstery. This transfer will reduce after a few washes but we recommend that you wash the product separately for the first few washes.  Dress your little girl in this lehenga choli set from fabindia for a super-cute traditional look. Team this with lacy shoes and make her look like the rajkumari that she is.",Fabindia Girls Printed Pink Lehenga Choli,Lehenga Choli
57892.jpg,"This luxurious eye cream lightens and brightens eye contours Smoothes away dry lines, dark circles and puffiness Skin Type - For all skin types Usage - Lightly pat mound eye area, morning and evening",Biotique Women Bio Almond Eye Cream,Eye Cream
14873.jpg,"From a fashion accessory to an all-season necessity, the umbrella has come a long way. This compact umbrella from united colors of benetton has been crafted with absolute waterproof material and unique prints that give you a colourful edge in all seasons!  Three-fold umbrella with eight ribs and stretchers made of stainless steel Shade and cover made of 100% polyamide for waterproofing and easy storage Cap measures 100 cm in diameter when opened up Umbrella measures 24 cm in length when packed Purple shade and cover with orange and white heart and flower print Sturdy stainless steel tube with a runner, top and bottom spring, and an open cap Purple rounded plastic tip cup that has the Big Ben logo Haul loop for hanging ease  Care Wipe dust and dirt with a damp, clean cloth Hang dry in shade",United Colors of Benetton Women Printed Purple Umbrellas,Umbrellas
14875.jpg,"From a fashion accessory to an all-season necessity, the umbrella has come a long way. This compact umbrella from united colors of benetton has been crafted with absolute waterproof material and unique prints that give you a colourful edge in all seasons!  Three-fold umbrella with eight ribs and stretchers made of stainless steel Shade and cover made of 100% polyamide for waterproofing and easy storage Cap measures 100 cm in diameter when opened up Umbrella measures 24 cm in length when packed Green shade and cover with purple and white heart and flower print Sturdy stainless steel tube with a runner, top and bottom spring, and an open cap Green rounded plastic tip cup that has the Big Ben logo Haul loop for hanging ease  Care Wipe dust and dirt with a damp, clean cloth Hang dry in shade",United Colors of Benetton Women Printed Purple Umbrellas,Umbrellas
59851.jpg,"High cellLucent concentration for skin whitening Contains Vitamin B3, plant whitening extracts and colour vitamin beads Non-greasy formula",Olay Women White Radiance Intensive Brightening Serum,Face Serum and Gel
56546.jpg,"Cream based make-up remover that can remove water-proof and long-wearing make-up Non-irritating, suitable for all skin types Does not leave oily residue behind",Streetwear Makeup Remover,Makeup Remover
55109.jpg,"Lakmé   Absolute compact Puff is a lightweight, spongy and super soft puff which is designed to apply compact powder flawlessly while blending it perfectly with your skin",Lakme Compact Puff,Beauty Accessory
57607.jpg,Rehydrates skin and enhances its moisture retention capacity. This special formula is quickly absorbed in the skin,Lotus Herbals Basiltone Toner,Toner
57860.jpg,"biotique Bio Cucumber Pore Tightening Freshener is pore tightening and purifying lotion made from cucumber, barberry, coriander, nutgalls, peppermint oil and fresh water from the Himalayan foot-hills, it's designed for normal to oily skin",Biotique Bio Cucumber Pore Tightening Freshener,Toner
