image,description,display name,category
11371.jpg,"Composition Black shirt made of 97% cotton and 3% spandex, has a tipped collar and front buttoned placket, full arm cuff sleeves and embroidered Big Ben logo on left chest   Fitting Comfort  Wash care only hand wash in cool water Do not scrub, bleach, wring, tumble dry or dry clean Turn inside out and dry flat in shade Warm iron, but do not iron on print or embroidery  Take formal dressing to the next level with this black shirt from united colors of benetton. The ever-classic black colour suits all occasions, and the cotton fabric is sure to keep you fresh and comfortable all day. Team this with light brown formal pants and leather shoes for a formal look, or with jeans and brown suede shoes for a semi-formal touche.  Model statistics The model wears size M in shirts Height-5'11"", Shoulders-18""",United Colors Of Benetton Men Summer Black Shirts,Shirts
43043.jpg,-,Indigo Nation Navy Blue Shirt,Shirts
10047.jpg,"Composition Black  round neck short sleeved t-shirt made of 100% cotton, that has softly ribbed neckline with fabric tape detailing on the inseam, brand badge stitched on the left sleeve and graphic print on the front with flock detailing   Fitting  Regular  Wash care Gentle machine wash with like colours in cool water at 30 degrees Do not bleach Do not tumble dry Warm iron Do not dry clean  Looking hep comes easy with this black Heroes t-shirt from puma. A smart graphic pattern of fabulous puma shoes on the front makes this T-shirt absolutely irresistible. Team it with jeans or shorts for that perfect look.  Model statistics The model wears size M in t-shirts Height-6.1', Shoulder-18""",Puma Men Heroes Graphic Black Tshirts,Tshirts
44908.jpg,"Style Note The German brand puma is known world over for their infusion of colour and minimalist styling into classic wardrobe staples. With its fine finishing and detailing this striped Polo neck T-shirt easily makes it to our wishlist for the Summer. Pair it with distressed denims and flip-flops for a rugged look or with track pants and sneakers for a workout. Product Details White, red and black striped polo neck T-shirt,   ribbed spread collar, short buttoned placket, short sleeves, brand logo embroidered on left front chest, brand badge on left hem, vented hem with front longer than back Materials and Care 100% cotton Wash and iron inside out Machine wash warm Warm iron Size and Fit Regular fit The model(height 6'and shoulders 18"") is wearing a size M",Puma Men White and Red Striped Polo neck T-shirt,Tshirts
18470.jpg,"For the free-spirited male, this Reenergize fragrance for men from reebok, holds traces of homegrown spices and aromas of nature. Reminiscent of a nostalgic journey back in time, this eau de toilette, bottled in a delectable orange-gold flask, has tones of cardamom, mandarin and moss.   Quantity : 100 ml   Caution Flammable Keep away from sources of ignition Keep away from children Do not use near fire, flame or heat Avoid spraying near the eyes",Reebok Reenergize Men Perfumes,Perfume and Body Mist
7946.jpg,"Composition Black round neck t-shirt, made of 100% cotton, has fabric tape detailing on inseam of the neckline and print on the chest Fit Regular Wash care Gentle machine wash in cool water Do not bleach Tumble dry at low temperature Warm iron Do not dry clean This T-shirt from puma showcases the label's love of minimalism. This pure cotton tee combines the classic with conteporary fashion through its print and style. Pair it with denims and canvas shoes for unparalleled cool. Model statistics The model wears size M in t-shirts Height-6', Shoulders-18""",Puma Men's Riddim Black Grey Yellow T-shirt,Tshirts
45135.jpg,"Case style: Analogue watch with a rectangular case and a stainless steel back Dial style: White dial with three hands and markings Features: A screw to reset time Strap style: Steel-toned bracelet-style strap with a butterfly clasp Water-resistant Comes in a signature CASIO case Warranty: 2 years Warranty provided by Brand Owner / Manufacturer To register this product online for warranty, the customer has to visit https://register.casio.in. Post login, please select the 'Online Store' option and follow the steps for registration.",Casio Enticer Women White Dial Watch  LTP-1235SG-7ADF(A360),Watches
15653.jpg,"Let your backpack speak your style statement, and the easiest way to do it is by donning the Simple Backpack from belkin.   Laptop size : 15.6""  Made of polyester One main zippered compartment with a padded laptop sleeve and organiser space One zippered pouch on the front with design on the top Ergonomically padded back with adjustable and padded shoulder straps Haul loop for handling ease   Care  Hand wash in cold water using a mild detergent",Belkin Unisex Simple Backpack Navy Blue Backpacks,Backpacks
29982.jpg,Case style: Stainless steel rectangular case in silver with studded crystals  Dial style: White dial with silver hands  Strap style: Red genuine leather strap with a tang clasp  Features: Aspen branding on the 12 hour mark and screw to reset time  Waterproof to 30 metres  Warranty: 2 years,Aspen Women White Dial Watch,Free Gifts
51323.jpg,"Grey and black checked laptop bag Two short handles, one long adjustable and detachable sling strap One main zip compartment, has a slip pocket An external zip pocket on the front, has an organiser sleeve Warranty: 5 years from the date of purchase against manufacturing defects Disclaimer: Please note that the thread colour in the brand logo may vary from the image shown Note: The inner lining material/colour may vary from what is shown in the image",Wildcraft Unisex Grey & Black Checked Spawn Laptop Bag,Laptop Bag
13315.jpg,"Composition White half-sleeve shirt made of 100% cotton, has black and yellow  checks, fold over half sleeves, fabric tape detailing on the inseam of the neckline, tipped collar, brand name embroidered above the two pockets on either chest, and a full length buttoned placket Fitting Regular Wash care Machine wash separately in cold water using a mild detergent Do not bleach or soak Line dry inside out in shade Warm iron only Do not iron directly on print/embroidery Dress your little boy in this shirt from gini and jony and watch him play a game of soccer like a pro. The cut adds a hint of smartness to this shirt, while the fabric keeps him fresh and comfortable all day. Team it with shorts and sneakers for that uber cool look.",Gini and Jony Kids Boys Check Blue Shirts,Shirts
30188.jpg,Style Note Leave behind your cares of wondering how to carry your vacation shopping back home with this foldable travel bag from nike. Roll it up into a small ball when not in use and open it for a copious space. Product Details Made of nylon polyester blended fabric for durability and easy maintenance Has one main roomy compartment Printed branding on the front Nike tag on the left side Adjustable shoulder straps that distribute weight evenly and protect the shoulders and back from injuries Material and Care Nylon polyester blended fabric Rub surface with dry clean cloth to remove dust and dirt Do not machine wash Size Measurement Height: 47cm Width:   34cm,Nike Unisex Grey Backpack,Backpacks
9140.jpg,"Composition Magenta three-fourth sleeves tunic top made of 100% viscose, has a round neck with metal stud detailing and extended side seams Fitting Regular Wash care Dry clean only Do not bleach Steam iron Take feminine dressing to the next level with this magenta tunic top from scullers. The studs on the neck add bling to this bright top, giving it an even more smarter look. Team it with leggings and heels for the perfect look. Model statistics The model wears size M in tops Height-5.9"", Chest-33""",Scullers For Her Women Viscose Tunics Magenta Tunics,Tunics
32849.jpg,"grendha's high quality sandals capture the sultry summer's essence, the fuss-free design and flirty adornments give a street-chic vibe. Showcase these flats with cropped pants and a pastel hued fitted shirt. Upper Synthetic braided forefoot straps with a crystal embellishment on the centre Synthetic ankle strap Smooth footbed with printed branding Metallic tones with floral print on the footbed and straps Outsole Short, stacked heel All-over floral grooves Sandal care Wipe with a clean dry cloth to remove dust",Grendha Women Roamance Brown Flats,Heels
41608.jpg,"Style Note  Perfect for urban dressing, this shirt from basics oozes attitude and style. The fabric keeps you fresh and comfortable all day, while the stylish stitch detailing makes it a perfect casual wear. Team this shirt with jeans or chinos and leather shoes for unparalleled cool.   Product Details  Blue shirt made of 100% cotton, has a spread collar, full buttoned placket, long sleeves with buttoned cuffs, a pocket on the left chest with flap button closure and a curved hem   Material and Care  100% cotton  Machine wash cold using a mild detergent  Do not soak  Dry flat in shade  Warm iron   Size and Fit  Slim fit  The model (height 6' and shoulder 18"") is wearing a size S",Basics Men Blue Shirt,Shirts
